,Summary,Season,Wedding_destination,Guest,Location,Describing_words,Priority_1,Priority_2,Priority_3,Estimate,Attire_Accessories,Beauty_spa,Entertainment,Flowers_Decorations,Gifts,invitations,Photography,Planner,venue_Catering_rental
621,"How much does a summer wedding in Tacoma WA with 200 to 300 guests cost? The wedding is at a lakefront. The type of wedding is DIY, Romantic, Simple. The wedding color theme is Blues. The estimated cost for this wedding is $57,546.","
            
                Summer Wedding
                
                
            
        ","
        
            Tacoma WA
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $230 to the total amount spent.
                    
                    
                
        

        ","
                
                a lakefront
            ","
    	    
            
            
                Blues
            
        ",,,,"
$57,546 is the Estimated Wedding Cost
","$2,670",$963,$283,"$1,137","$16,440","$14,930",$740,"$1,059","$1,207"
622,"How much does a summer wedding in Rochester NY with 150 to 200 guests cost? The type of wedding is Garden, Romantic, Simple. The wedding color theme is Other. The estimated cost for this wedding is $30,354.","
            
                Summer Wedding
                
                
            
        ","
        
            Rochester NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $173 to the total amount spent.
                    
                    
                
        

        ","
                
                None specified
            ","
    	    
            
            
                Other
            
        ",,,,"
$30,354 is the Estimated Wedding Cost
","$2,259",$740,$187,$321,"$7,815","$8,406","$3,469","$1,044",$908
623,"How much does a summer wedding in Madison, WI with 100 to 150 guests cost? The type of wedding is Elegant, Garden, Romantic. The wedding color theme is Greens. The estimated cost for this wedding is $27,797.","
            
                Summer Wedding
                
                
            
        ","
        
            Madison, WI
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $222 to the total amount spent.
                    
                    
                
        

        ","
                
                None specified
            ","
    	    
            
            
                Greens
            
        ",,,,"
$27,797 is the Estimated Wedding Cost
","$2,105",$393,$251,$264,$972,"$4,348","$1,422","$2,255",$537
624,"How much does a fall wedding in Saint Louis MO with 50 to 100 guests cost? The wedding is at a farm or barn. The type of wedding is Garden, Vintage, Farm/Barn. The wedding color theme is Browns. The estimated cost for this wedding is $16,471.","
            
                Fall Wedding
                
                
            
        ","
        
            Saint Louis MO
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $220 to the total amount spent.
                    
                    
                
        

        ","
                
                a farm or barn
            ","
    	    
            
            
                Browns
            
        ",,,,"
$16,471 is the Estimated Wedding Cost
","$2,097",$214,$152,"$2,003","$3,873",$776,$459,$274,"$1,212"
625,"How much does a spring wedding in Fort Lauderdale FL with 50 to 100 guests cost? The wedding is at a banquet hall. The type of wedding is Formal, Simple, Intimate. The wedding color theme is Silver. The estimated cost for this wedding is $20,036.","
            
                Spring Wedding
                
                
            
        ","
        
            Fort Lauderdale FL
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $267 to the total amount spent.
                    
                    
                
        

        ","
                
                a banquet hall
            ","
    	    
            
            
                Silver
            
        ",,,,"
$20,036 is the Estimated Wedding Cost
","$2,651",$304,$264,"$3,106","$2,634","$5,088","$1,811",$314,$283
626,"How much does a spring wedding in Tampa FL with 50 to 100 guests cost? The wedding is at some other location. The type of wedding is Fun, Modern, Experience. The wedding color theme is Other. The estimated cost for this wedding is $21,915.","
            
                Spring Wedding
                
                
            
        ","
        
            Tampa FL
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $292 to the total amount spent.
                    
                    
                
        

        ","
                
                some other location
            ","
    	    
            
            
                Other
            
        ",,,,"
$21,915 is the Estimated Wedding Cost
","$1,645",$259,$232,$259,"$3,343","$3,542",$906,"$1,817",$358
627,"How much does a wedding in Middleton WI with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Simple, Traditional, Other. The wedding color theme is Black. The estimated cost for this wedding is $34,367.","
            
                None specified
                
            
        ","
        
            Middleton WI
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $275 to the total amount spent.
                    
                    
                
        

        ","
                
                a resort or hotel
            ","
    	    
            
            
                Black
            
        ",,,,"
$34,367 is the Estimated Wedding Cost
","$1,869",$410,$155,$264,"$3,289","$6,634","$1,434",$344,$90
628,"How much does a spring wedding in Little Rock AR with 100 to 150 guests cost? The wedding is at a banquet hall. The type of wedding is DIY. The wedding color theme is Champagne. The estimated cost for this wedding is $23,086.","
            
                Spring Wedding
                
                
            
        ","
        
            Little Rock AR
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $185 to the total amount spent.
                    
                    
                
        

        ","
                
                a banquet hall
            ","
    	    
            
            
                Champagne
            
        ",,,,"
$23,086 is the Estimated Wedding Cost
","$1,605",$418,$251,"$2,642","$6,208","$5,206","$2,318",$604,$597
629,"How much does a fall wedding in Austin TX  with 100 to 150 guests cost? The ceremony is at a church or other place of worship and reception is at a country club or golf course. The type of wedding is Elegant, Fun, Traditional. The wedding color theme is White. The estimated cost for this wedding is $28,725.","
            
                Fall Wedding
                
                
            
        ","
        
            Austin TX 
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $230 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Fun, Traditional 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)","Event Food Service, Catering, Bar Service",,"
$28,725 is the Estimated Wedding Cost
","$3,284",$499,$163,$263,"$1,193","$7,760","$1,726","$2,723",$627
630,"How much does a spring wedding in Georgetown TX with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Romantic, Simple, Intimate. The wedding color theme is White. The estimated cost for this wedding is $18,407.","
            
                Spring Wedding
                
                
            
        ","
        
            Georgetown TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $245 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                White
            
        ",,,,"
$18,407 is the Estimated Wedding Cost
","$2,547",$245,$177,$263,"$2,249","$2,477",$805,$468,$193
631,"How much does a fall wedding in Indianapolis IN with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Romantic, Other, Experience. The wedding color theme is Other. The estimated cost for this wedding is $23,423.","
            
                Fall Wedding
                
                
            
        ","
        
            Indianapolis IN
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $187 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Other
            
        ",,,,"
$23,423 is the Estimated Wedding Cost
","$1,892",$401,$262,"$1,219","$6,599","$5,783","$2,814",$340,$390
632,"How much does a summer wedding in Anderson SC with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Elegant, Formal, Traditional. The wedding color theme is Greens. The estimated cost for this wedding is $35,409.","
            
                Summer Wedding
                
                
            
        ","
        
            Anderson SC
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $202 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Formal, Traditional 
            
        ","Ceremony Officiator (Officiant, Celebrant, etc.)","Event Food Service, Catering, Bar Service",Event Location/Venue,"
$35,409 is the Estimated Wedding Cost
","$2,171",$706,$242,$319,"$1,870","$11,232","$2,976","$1,038","$1,302"
633,"How much does a summer wedding in Telluride CO with 100 to 150 guests cost? The type of wedding is Destination, Romantic, Farm/Barn. The wedding color theme is Other. The estimated cost for this wedding is $23,113.","
            
                Summer Wedding
                
                
            
        ","
        
            Telluride CO
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $185 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Other
            
        ",,,,,"
$23,113 is the Estimated Wedding Cost
","$2,807",$478,$170,$273,"$4,400","$7,085","$2,785",$609,$426
634,"How much does a fall wedding in Charleston SC with more than 300 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Traditional. The wedding color theme is White. The estimated cost for this wedding is $67,952.","
            
                Fall Wedding
                
                
            
        ","
        
            Charleston SC
            
            
        
    ","
        
        
            
                    This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $170 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Traditional 
            
        ",Event Location/Venue,,,"
$67,952 is the Estimated Wedding Cost
","$2,322","$2,135",$266,"$30,369","$13,792","$7,773","$3,796","$2,462",$484
635,"How much does a summer wedding in Atlanta GA with 50 to 100 guests cost? The wedding is at a resort or hotel. The type of wedding is Elegant, Romantic, Intimate. The wedding color theme is Champagne. The estimated cost for this wedding is $31,862.","
            
                Summer Wedding
                
                
            
        ","
        
            Atlanta GA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $425 to the total amount spent.
                    
                    
                
        

        ","
                
                a resort or hotel
            ","
    	    
            
            
                Champagne
            
        ",,,,"
$31,862 is the Estimated Wedding Cost
","$2,407",$266,$165,$266,"$1,256","$4,093",$893,"$2,049",$332
636,"How much does a fall wedding in Lake Charles LA with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Fun, Romantic, Experience. The wedding color theme is White. The estimated cost for this wedding is $24,455.","
            
                Fall Wedding
                
                
            
        ","
        
            Lake Charles LA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $196 to the total amount spent.
                    
                    
                
        

        ","
                
                a resort or hotel
            ","
    	    
            
            
                White
            
        ",,,,"
$24,455 is the Estimated Wedding Cost
","$2,279",$479,$238,$258,"$1,625","$4,804","$1,618","$2,515",$594
637,"How much does a fall wedding in Philadelphia PA with 150 to 200 guests cost? The wedding is at a historical building. The type of wedding is Fun, Garden, Unique. The wedding color theme is White. The estimated cost for this wedding is $40,472.","
            
                Fall Wedding
                
                
            
        ","
        
            Philadelphia PA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $231 to the total amount spent.
                    
                    
                
        

        ","
                
                a historical building
            ","
    	    
            
            
                White
            
        ",,,,"
$40,472 is the Estimated Wedding Cost
","$3,748",$741,$302,$321,"$1,762","$11,919","$2,566",$311,"$1,009"
638,"How much does a spring wedding in Leonardtown MD with 100 to 150 guests cost? The wedding is at a farm or barn. The type of wedding is Rustic, Traditional, Farm/Barn. The wedding color theme is Blues. The estimated cost for this wedding is $30,720.","
            
                Spring Wedding
                
                
            
        ","
        
            Leonardtown MD
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $246 to the total amount spent.
                    
                    
                
        

        ","
                
                a farm or barn
            ","
    	    
            
            
                Blues
            
        ",,,,"
$30,720 is the Estimated Wedding Cost
","$2,618",$415,$209,$333,"$5,019","$11,934","$2,882",$621,$589
639,"How much does a summer wedding in Oak Forest IL with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Formal, Simple, Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $31,539.","
            
                Summer Wedding
                
                
            
        ","
        
            Oak Forest IL
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $180 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Formal, Simple, Traditional 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)",Flowers & Decorations,Photography & Video,"
$31,539 is the Estimated Wedding Cost
",$541,$597,$271,"$1,406","$8,478","$8,309","$2,544",$519,$94
640,"How much does a summer wedding in Carmel by the Sea CA with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Beach, Fun, Modern. The wedding color theme is Greens. The estimated cost for this wedding is $38,692.","
            
                Summer Wedding
                
                
            
        ","
        
            Carmel by the Sea CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $310 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Greens
            
        ",,,,"
$38,692 is the Estimated Wedding Cost
","$2,247",$501,$222,"$1,168","$8,268","$8,842","$2,786",$704,$952
641,"How much does a spring wedding in Lubbock TX with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Elegant, Fun, Romantic. The wedding color theme is Greens. The estimated cost for this wedding is $31,288.","
            
                Spring Wedding
                
                
            
        ","
        
            Lubbock TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $179 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Greens
            
        ",,,,"
$31,288 is the Estimated Wedding Cost
","$2,275",$701,$215,$816,"$10,145","$6,753","$1,848","$1,078",$601
642,"How much does a summer wedding in Santa  with 150 to 200 guests cost? The wedding is at a banquet hall. The type of wedding is Garden, Simple, Theme. The wedding color theme is Other. The estimated cost for this wedding is $31,885.","
            
                Summer Wedding
                
                
            
        ","
        
            Santa 
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $182 to the total amount spent.
                    
                    
                
        

        ","
                
                a banquet hall
            ","
    	    
            
            
                Other
            
        ",,,,"
$31,885 is the Estimated Wedding Cost
","$1,946",$686,$195,$330,"$1,180","$7,525","$2,423","$3,985",$947
643,"How much does a spring wedding in Lubbock TX with 150 to 200 guests cost? The wedding is at an event facility. The type of wedding is Elegant, Fun, Romantic. The wedding color theme is Blues. The estimated cost for this wedding is $33,130.","
            
                Spring Wedding
                
                
            
        ","
        
            Lubbock TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $189 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Blues
            
        ",,,,"
$33,130 is the Estimated Wedding Cost
","$2,114",$709,$161,$237,$816,"$10,796","$2,597","$2,794",$902
644,"How much does a summer wedding in Hood River OR with 50 to 100 guests cost? The wedding is at a winery. The type of wedding is Elegant, Romantic, Modern. The wedding color theme is Champagne. The estimated cost for this wedding is $36,853.","
            
                Summer Wedding
                
                
            
        ","
        
            Hood River OR
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $491 to the total amount spent.
                    
                    
                
        

        ","
                
                a winery
            ","
    	    
            
            
                Champagne
            
        ",,,,"
$36,853 is the Estimated Wedding Cost
","$3,485",$449,$289,$307,"$1,254","$6,814","$1,531","$2,938",$495
645,"How much does a fall wedding in San Fernando with 100 to 150 guests cost? The wedding is at a garden or park. The type of wedding is Fun, Romantic, Traditional.  The estimated cost for this wedding is $29,216.","
            
                Fall Wedding
                
                
            
        ","
        
            San Fernando
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $234 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                None specified
            
        ",,,,"
$29,216 is the Estimated Wedding Cost
","$2,201",$448,$203,"$1,485","$9,137","$1,608",$647,$455,"$8,359"
646,"How much does a winter wedding in Jupiter FL with 200 to 300 guests cost? The type of wedding is Formal, Traditional. The wedding color theme is Pinks. The estimated cost for this wedding is $51,742.","
            
                Winter Wedding
                
                
            
        ","
        
            Jupiter FL
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $207 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Pinks
            
        ",,,,,"
$51,742 is the Estimated Wedding Cost
","$2,473","$1,043",$167,$264,$997,"$14,827","$3,793","$4,326","$1,104"
647,"How much does a wedding in Cleveland OH with more than 300 guests cost? The wedding is at a banquet hall. The type of wedding is Fun, Romantic, Unique. The wedding color theme is Ivory. The estimated cost for this wedding is $74,209.","
            
                None specified
                
            
        ","
        
            Cleveland OH
            
            
        
    ","
        
        
            
                    This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $186 to the total amount spent.
                    
                    
                
        

        ","
                
                a banquet hall
            ","
    	    
            
            
                Ivory
            
        ",,,,"
$74,209 is the Estimated Wedding Cost
","$2,379","$1,878",$243,$259,"$1,165","$30,260","$6,927","$6,134","$2,462"
648,"How much does a summer wedding in Temple TX with 100 to 150 guests cost? The ceremony is at a church or other place of worship and reception is at some other location. The type of wedding is Casual. The wedding color theme is Blues. The estimated cost for this wedding is $25,928.","
            
                Summer Wedding
                
                
            
        ","
        
            Temple TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $207 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Casual 
            
        ",Bakery (Wedding Cake/dessert),"Ceremony Officiator (Officiant, Celebrant, etc.)",Jewelry (Rings and Other Jewelry),"
$25,928 is the Estimated Wedding Cost
","$1,828",$460,$140,$356,"$3,738","$5,723","$2,117",$537,$413
649,"How much does a spring wedding in Blacksburg VA with 100 to 150 guests cost? The ceremony is at a garden or park and reception is at a banquet hall. The type of wedding is Elegant, Garden, Romantic. The wedding color theme is Pinks. The estimated cost for this wedding is $25,894.","
            
                Spring Wedding
                
                
            
        ","
        
            Blacksburg VA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $207 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Elegant, Garden, Romantic 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)",Bakery (Wedding Cake/dessert),"Event Food Service, Catering, Bar Service","
$25,894 is the Estimated Wedding Cost
","$2,314",$665,$151,$253,"$6,249","$5,824","$2,722",$786,$536
650,"How much does a fall wedding in Honolulu HI with less than 25 guests cost? The ceremony is at a church or other place of worship and reception is at a resort or hotel. The type of wedding is Beach, Casual, Destination. The wedding color theme is White. The estimated cost for this wedding is $19,524.","
            
                Fall Wedding
                
                
            
        ","
        
            Honolulu HI
            
            
        
    ","
        
        
            
                    This estimate is based on having 15 guests with a range of less than 25 guests. Adding a single guest will likely add $1,302 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Beach, Casual, Destination 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Event Location/Venue,"
$19,524 is the Estimated Wedding Cost
","$3,131",$68,$373,"$2,299","$1,103","$3,716","$2,358",$55,$38
651,"How much does a fall wedding in Baltimore MD with 50 to 100 guests cost? The type of wedding is Elegant, Fun, Romantic.  The estimated cost for this wedding is $24,706.","
            
                Fall Wedding
                
                
            
        ","
        
            Baltimore MD
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $329 to the total amount spent.
                    
                    
                
        

        ","
                
                None specified
            ","
    	    
            
            
                None specified
            
        ",,,,"
$24,706 is the Estimated Wedding Cost
","$1,958",$215,$135,"$1,253","$3,042","$7,927","$1,648",$186,$55
652,"How much does a fall wedding in San Antonio TX with 25 to 50 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Casual, Simple, Traditional. The wedding color theme is Pinks. The estimated cost for this wedding is $15,593.","
            
                Fall Wedding
                
                
            
        ","
        
            San Antonio TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $410 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Casual, Simple, Traditional 
            
        ",Bakery (Wedding Cake/dessert),"Beauty, Health & Spa (Hair, Makeup, etc.)","Event Food Service, Catering, Bar Service","
$15,593 is the Estimated Wedding Cost
","$2,479",$131,$93,$267,$968,"$1,824",$467,$875,$92
653,"How much does a spring wedding in Cape Neddick ME with 100 to 150 guests cost? The ceremony is at a church or other place of worship and reception is at a resort or hotel. The type of wedding is Beach, Elegant, Fun. The wedding color theme is Champagne. The estimated cost for this wedding is $45,125.","
            
                Spring Wedding
                
                
            
        ","
        
            Cape Neddick ME
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $361 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Beach, Elegant, Fun 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)",Event Location/Venue,Photography & Video,"
$45,125 is the Estimated Wedding Cost
","$2,799",$662,$224,$304,"$2,059","$8,975","$2,297","$2,091","$1,217"
654,"How much does a fall wedding in Indianapolis IN with 50 to 100 guests cost? The ceremony is at a garden or park and reception is at a family or friend's home. The type of wedding is Casual, Garden, Romantic. The wedding color theme is Greens. The estimated cost for this wedding is $16,395.","
            
                Fall Wedding
                
                
            
        ","
        
            Indianapolis IN
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $219 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Casual, Garden, Romantic 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Event Rentals,"
$16,395 is the Estimated Wedding Cost
","$1,643",$216,$236,$262,"$2,280","$3,643","$1,530",$185,$220
655,"How much does a fall wedding in Annapolis MD with 100 to 150 guests cost? The wedding is at a private residence. The type of wedding is Fun, Romantic, Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $36,291.","
            
                Fall Wedding
                
                
            
        ","
        
            Annapolis MD
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $290 to the total amount spent.
                    
                    
                
        

        ","
                
                a private residence
            ","
    	    
            
            
                Blues
            
        ",,,,"
$36,291 is the Estimated Wedding Cost
","$2,643",$379,$316,$321,"$5,541","$6,775","$1,330","$2,552",$490
656,"How much does a fall wedding in Indianapolis IN with 50 to 100 guests cost? The wedding is at a garden or park. The type of wedding is Fun, Garden, Unique. The wedding color theme is Greens. The estimated cost for this wedding is $27,532.","
            
                Fall Wedding
                
                
            
        ","
        
            Indianapolis IN
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $367 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Greens
            
        ",,,,"
$27,532 is the Estimated Wedding Cost
","$1,808",$207,$244,$262,"$2,181","$3,507",$735,"$1,683",$275
657,"How much does a summer wedding in Texarkana TX with 150 to 200 guests cost? The ceremony is at a church or other place of worship and reception is at a country club or golf course. The type of wedding is Elegant, Romantic, Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $42,687.","
            
                Summer Wedding
                
                
            
        ","
        
            Texarkana TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $244 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Romantic, Traditional 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service","
$42,687 is the Estimated Wedding Cost
","$2,749",$889,$167,$240,"$1,082","$13,838","$3,309","$2,787","$1,103"
658,"How much does a spring wedding in Dallas TX with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Formal, Unique, Intimate. The wedding color theme is Other. The estimated cost for this wedding is $25,790.","
            
                Spring Wedding
                
                
            
        ","
        
            Dallas TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $344 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Other
            
        ",,,,"
$25,790 is the Estimated Wedding Cost
","$4,071",$172,$272,"$1,078","$3,233","$6,184","$1,933",$199,$252
659,"How much does a spring wedding with more than 300 guests cost? The ceremony is at a church or other place of worship and reception is at a family or friend's home. The type of wedding is Elegant, Formal, Romantic. The wedding color theme is Gold. The estimated cost for this wedding is $88,810.","
            
                Spring Wedding
                
                
            
        ","
        
            None specified
            
            
        
    ","
        
        
            
                    This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $222 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Formal, Romantic 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)",Bakery (Wedding Cake/dessert),"Event Food Service, Catering, Bar Service","
$88,810 is the Estimated Wedding Cost
","$6,610","$2,620",$216,$330,"$25,213","$12,424","$7,713","$2,976","$2,016"
660,"How much does a summer wedding in Portland ME with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is DIY, Fun, Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $64,177.","
            
                Summer Wedding
                
                
            
        ","
        
            Portland ME
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $257 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                DIY, Fun, Traditional 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Event Location/Venue,"
$64,177 is the Estimated Wedding Cost
","$2,161","$1,229",$205,"$4,702","$20,372","$13,776","$4,567","$1,604","$1,165"
661,"How much does a fall wedding in San Antonio TX with 100 to 150 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Casual, Simple, Traditional. The wedding color theme is Pinks. The estimated cost for this wedding is $29,728.","
            
                Fall Wedding
                
                
            
        ","
        
            San Antonio TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $238 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Casual, Simple, Traditional 
            
        ","Event Food Service, Catering, Bar Service",Event Location/Venue,Photography & Video,"
$29,728 is the Estimated Wedding Cost
","$2,479",$404,$232,$267,$968,"$6,594","$1,415","$2,238",$339
662,"How much does a summer wedding in Montgomery NY with 100 to 150 guests cost? The wedding is at a country club or golf course. The type of wedding is Elegant, Rustic, Modern. The wedding color theme is Greens. The estimated cost for this wedding is $38,200.","
            
                Summer Wedding
                
                
            
        ","
        
            Montgomery NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $306 to the total amount spent.
                    
                    
                
        

        ","
                
                a country club or golf course
            ","
    	    
            
            
                Greens
            
        ",,,,"
$38,200 is the Estimated Wedding Cost
","$3,675",$133,$334,"$1,415","$6,432","$11,833","$2,850",$612,$418
